ID,Name,Domain,Reg date,Title,Brand name,.com,.net,.org,.biz,Global rank,Top country,Google results,Link
481,FreeScore360,thinkcreditreports.com,10/27/08,Think Credit Reports,Think Credit Reports,No,No,No,No,"25,579",USA,"424,000",https://thinkcreditreports.com/mkt-def2/?ID=S39&affiliateid=34&SubID=447670&transaction_id=10217019718912a2ff8228df3b3511
529,100DayLoans,100dayloans.com,08/24/09,"100 Day Loans, Payday Loans, and Cash Advances at 100DayLoans.com",100 Day Loans,No,No,Yes,No,"58,541",USA,"10,400,000",http://www.100dayloans.com/?hid=17557636&affid=501468&uid=3&cmpid=265&notpid=208&s1=235&s2=198744834&s3=&s4=&s5=&ctvid=3
561,EcigBrand,ecigsbrand.com,03/03/10,E-Cigs Electronic Cigarettes,E-Cigs Electronic Cigarettes,Yes,Yes,Yes,Yes,"63,950",USA,"1,200,000",http://www.ecigsbrand.com/EC20av2/default.asp?aff=c2mec&sub=235&rt=0
570,BellaPlexAU,levelayouth.com,12/28/11,Levela Anti-Aging Formula,Levela,No,No,No,Yes,"1,082,793",USA,"13,900,000",https://www.levelayouth.com/o/lvla3/landing#none
571,HydroxatoneAU/NZ,bellalabs.com,03/29/11,BellaLabs - Instant Wrinkle Reducer,BellaLabs,No,No,No,Yes,"270,861",USA,"134,000",http://www.bellalabs.com/trial/index.php?AFID=96&SID=16&utm_source=96
625,VimaxDetox V2,zymbiotix365.com,08/14/13,Zymbiotix | Prohealth.  Prolife.  Probiotics.,Zymbiotix,No,No,No,Yes,"3,356,685",USA,"16,800",http://www.zymbiotix365.com/mm/slim/index.php?AFFID=220684&C1=1003%2c1272&Click_ID=09_73304468_9ac4d09a-6e4f-4532-9223-11fb7383d642&C2
656,quibids CA,xoticfish.com,03/12/07,Congratulations!,Xoticfish,No,Yes,Yes,Yes,"6,276,863",N/A,"2,500",http://xoticfish.com/
671,EpicCarInsurance,filitrac.com,06/24/04,Sorry,Filitrac,No,No,Yes,Yes,"580,381",USA,"45,900",http://www.filitrac.com/Click.aspx?tid=767A34FB5B2C0791259353CD73B0D5B20ECAB315AF836078&FiliAff=24985&sid=685347220
680,MaxBurn BR,secure-order-now.com,09/10/13,Garcinia Cambogia,Pure Garcinia Cambogia Extract,No,No,No,Yes,"2,829,161",USA,"8,380,000",https://secure-order-now.com/offer/garcinia8348/?country=us&PubID=9&PC=577&path=garcinia-olive-plat&SID=685347452&SID2=300001&LPID=401&ClickID=29856408
698,RegalCigs,tryregalcigs.com,11/15/10,Official Regal eCigs - Effects of Traditional Cigarette!,Regal Ecigs,No,No,No,Yes,"353,146",USA,"4,280",https://www.tryregalcigs.com/lp1/index-b.php?AFID=1014&SID=169
716,Franks Redirect,google.com,09/15/97,Google,Google,No,No,No,No,1,USA,"6,810,000,000",https://www.google.com/
722,BellaLabs,trydermarose.com,11/27/12,Dermarose Swiss Rose Stem Cell Face Cream,Dermarose,No,No,No,Yes,"1,028,852",USA,"57,500",http://trydermarose.com/Landing.aspx?CampaignID=69&aff=DFOf1&sub=16
746,Zbiddy Higher,zbiddy.com,08/12/10,Bid to win and save now,Zbiddy,No,No,No,No,"38,921",USA,"163,000",http://www.zbiddy.com/lander/v44/99?pid=C58&cid=C18&sid=C235-C
751,VivexinFR,vivexin.fr,03/14/08,Vivexin,Vivexin,No,No,No,Yes,"3,458,841",N/A,"83,300",https://secure.vivexin.fr/lp2.html?subid=235
793,IQQuiz-Singapore,shelvs.com,07/17/04,Congratulations!,Shelvs,No,Yes,Yes,Yes,"143,103",USA,"453,000",http://exclusiverewards.shelvs.com/?sov=255818802&hid=emimguisqkkoiekqqk&&ctrl1=noiframe&id=XNSX.eb7ffb12ca3537844dc698ec56de63cc%3A%3ACD1215%3A%3A3202
846,Vivexin US,vivexin.com,02/08/11,Vivexin,Vivexin,No,No,No,Yes,"1,435,274",N/A,"83,300",http://www.vivexin.com/trial_offer.html?n=127&subid=235
847,AutoFullForm,comparisons.org,06/26/02,Insurance.Comparisons.org - Save Big Money On Your Auto Insurance!,Comparisons,No,No,No,No,"8,430",USA,"80,000,000",http://insurance.comparisons.org/ver2/?sub=1004-300001
893,QuiBids Private,quibids.com,05/19/09,Get Started Today! - QuiBids.com,Quibids,No,No,No,No,"3,571",USA,"1,120,000",https://www.quibids.com/en/landing/?mb=jpg&lp=190&aid=6
904,SurveySpot,ssisurveys.com,07/18/07,SurveySpot - Create Your FREE Membership and Start Getting Paid!,SurveySpot,No,No,No,No,"2,258",USA,"86,100",http://survey21.ssisurveys.com/scripts/dubinterviewer.dll/Frames?Quest=899&QW1614=996198&Resp=2050706580
905,NPDResearchPanel,vipvoice.com,04/18/04,VIP Voice,VIP Voice,No,No,No,Yes,"59,625",USA,"29,100",http://www.vipvoice.com/Toluna.MR.TrafficUI/MSCUI/Page.aspx?bid=101&pgtid=12&rcid=AN1&rsid=1024&subid=685413011&utcoffset=4
906,MySurvey,mysurvey.com,05/10/97,Earn rewards for taking surveys | MySurvey,MySurvey,No,No,No,No,"4,828",USA,"1,560,000",https://www.mysurvey.com/index.cfm?action=Main.join&utm_source=oceansideten&utm_medium=affiliate&utm_campaign=ROI_GP203&R=ROI_GP203&LID=685413232&source=64985
907,GlobalTestMarket,globaltestmarket.com,06/21/99,"Paid Online Surveys, Take Surveys - Join GlobalTestMarket",Global Test Market,No,No,No,No,"2,267",USA,"131,000",https://www.globaltestmarket.com/join.php?utm_source=oceansideten&utm_medium=affiliate&utm_campaign=roinetworkus&p=roinetworkus&lang=E&redirect=false&CID=64985
908,IpsosUS,i-say.com,03/23/99,Research,I-Say,No,No,No,Yes,"27,503",USA,"129,000,000",https://rec.i-say.com/research/links/560/index.php?id=f1881fd3c86c9ac2a27ec2029fa44a13&AID=64985
909,IpsosCA,i-say.com,03/23/99,Research,I-Say,No,No,No,Yes,"27,503",USA,"129,000,000",https://rec.i-say.com/research/links/20148/index.php?id=890da35eeedb2064e80b744531b58f7d&AID=64985
910,SwagBucks,swagbucks.com,10/29/07,Earn Reward Points and Redeem Them For Free Stuff at Swagbucks.com,Swagbucks,No,No,No,No,510,USA,"3,280,000",http://www.swagbucks.com/p/register?cmp=138&cxid=0-64985
912,TolunaUS,vipvoice.com,04/18/04,VIP Voice,VIP Voice,No,No,No,Yes,"59,625",USA,"29,100",http://www.vipvoice.com/Toluna.MR.TrafficUI/MSCUI/Page.aspx?bid=101&pgtid=12&rcid=AN1&rsid=1024&subid=685414288
913,TolunaUK,vipvoice.com,04/18/04,VIP Voice,VIP Voice,No,No,No,Yes,"59,625",USA,"29,100",http://www.vipvoice.com/Toluna.MR.TrafficUI/MSCUI/Page.aspx?bid=101&pgtid=12&rcid=AN1&rsid=1024&subid=685414288
914,TolunaAU,samplicio.us,02/22/10,N/A,Federated Sample,No,Yes,Yes,Yes,510,USA,"15,500",http://www.samplicio.us/router2/PreScreen.aspx?SSID=20cf8e11-3cb3-429a-be15-3c782d57ea2d&SuID=413d142069&zToken=26d6f2a4-2280-4fac-a25e-03024db1f64b
915,SendEarnings,sendearnings.com,01/22/02,"SendEarnings&reg; - Earn Cash for E-Mail, Surveys, Games, and More!",Send Earnings,No,No,Yes,Yes,"18,498",USA,"21,600",http://www.sendearnings.com/members/signup/landing10-short/0/0/
917,Nielson,nielsen.com,05/08/91,Nielsen Digital Voice – Join,Nielsen Digital Voice,No,No,No,No,"9,973",USA,"36,900",http://digitalvoice.nielsen.com/us/en/home/join.html?afflt=ntrt7540001&afflt_uid=64985
923,MyCreativeDesign,mycreativesitedesigns.com,11/04/10,A Special Offer Just For You | My Creative Site Designs,My Creative Site Designs,No,Yes,Yes,Yes,"197,670",USA,"48,200",http://www.mycreativesitedesigns.com/special/offer/99607/3353/james-franklin/
930,E-cigsBrandUK,ecigsbrand.com,03/03/10,E-Cigs Electronic Cigarettes,E-Cigs Electronic Cigarettes,Yes,Yes,Yes,Yes,"63,950",USA,"1,200,000",http://www.ecigsbrand.com/ec24v3/?aff=c2mecuk&sub=235&rt=0
941,Intl-Redirect,xoticfish.com,03/12/07,Congratulations!,Xoticfish,No,Yes,Yes,Yes,"6,276,863",N/A,"2,500",http://xoticfish.com/
957,Revimax – BR,bellalabs.com,03/29/11,BellaLabs - Instant Wrinkle Reducer,BellaLabs,No,No,No,Yes,"270,861",USA,"134,000",http://www.bellalabs.com/trial/index.php?AFID=96&SID=16&utm_source=96
962,Rebel Redirect,xoticfish.com,03/12/07,Congratulations!,Xoticfish,No,Yes,Yes,Yes,"6,276,863",N/A,"2,500",http://xoticfish.com/
980,QuiBidsUK,quibids.com,05/19/09,Get Started Today! - QuiBids.com,Quibids,No,No,No,No,"3,571",USA,"1,120,000",https://www.quibids.com/en/landing/index.php?c=uk&mb=jpa&lp=90&sub=
981,QuiBidsAU,quibids.com,05/19/09,Get Started Today! - QuiBids.com,Quibids,No,No,No,No,"3,571",USA,"1,120,000",https://www.quibids.com/en/landing/index.php?c=au&mb=jpa&lp=190&sub=
991,CASH-911PayDayDirect,911paydaydirect.com,10/05/11,911PaydayDirect.com - Quick & Easy online process for Cash Loans,911 Payday Direct,No,No,Yes,Yes,"21,660,798",N/A,"2,860",http://www.911paydaydirect.com/
992,CASH-FastLoanUSA,fastloanusa.net,10/06/11,FastLoanUSA.net - Quick & Easy online process for Cash Loans,Fast Loan USA,No,No,Yes,Yes,"2,815,915",N/A,"939,000",http://www.fastloanusa.net/
1001,LevelA,levelayouth.com,12/28/11,Levela Anti-Aging Formula,Levela,No,No,No,Yes,"1,082,793",USA,"13,900,000",https://www.levelayouth.com/o/lvla3/landing#none
1003,InstantEffectCA,levelayouth.com,12/28/11,Levela Anti-Aging Formula,Levela,No,No,No,Yes,"1,082,793",USA,"13,900,000",https://www.levelayouth.com/o/lvla3/landing#none
1010,MyPCBackupClean,mypcbackup.com,09/13/03,"Online backup, computer backup and pc backup from MyPCBackup Online Backup",MyPCBackup,No,No,No,No,754,USA,"646,000",http://www.mypcbackup.com/#ic
1013,CosimaRevival,smgtrck.com,11/07/11,404 - File or directory not found.,Smgtrck,No,Yes,Yes,Yes,"16,747,773",N/A,336,http://smgtrck.com/?a=168285&c=151&s1=300001&s2=685417577
1017,Revitol,bellalabs.com,03/29/11,BellaLabs - Instant Wrinkle Reducer,BellaLabs,No,No,No,Yes,"270,861",USA,"134,000",http://www.bellalabs.com/trial/index.php?AFID=96&SID=16&utm_source=96
1023,ProfitWebSystemNetwork,webfortunemaster.com,01/31/13,Web Fortune Master,Web Fortune Master,No,No,No,Yes,"63,608",USA,"937,000",http://webfortunemaster.com/hik97/?misc1=888-394-9813&caid=28972&misc3=685417845&caCode=GhpmAngBus&nopop=0&stid=363&cid2=14841
1025,PureCleanseSpain,purecleanse-es.com,05/01/12,N/A,Pure Cleanse,No,No,No,No,"8,336,321",N/A,"203,000",http://www.purecleanse-es.com/index.html
1031,BedDefense,beddefense.com,09/27/11,Bed Defense // All Natural Bed Bug Protection Device,Bed Defense,No,No,No,No,"349,422",USA,"14,100",http://order.beddefense.com/4d2/?caid=29054&misc3=685418165&caCode=GURadblFT&nopop=0&stid=377&cid2=8625
1039,Digest It – Germany,digestittrial.com,10/02/09,Digest It,Digestit,No,No,No,Yes,"5,335,090",N/A,"996,000",http://de.digestittrial.com/?AFID=400128
1044,VivexinIT,vivexin.it,01/11/11,Vivexin,Vivexin,No,No,No,Yes,"4,297,978",N/A,"83,300",https://secure.vivexin.it/lp1.html?subid=235
1046,Auto Mobile,comparisons.org,06/26/02,Insurance.Comparisons.org - Save Big Money On Your Auto Insurance!,Comparisons,No,No,No,No,"8,430",USA,"80,000,000",http://insurance.comparisons.org/mobile/?sub=1004
1051,Online Profit Masters – NoEXIT,webfortunevault.com,02/01/95,Web Fortune Vault,Web Fortune Vault,No,No,No,Yes,"434,970",USA,"401,000",http://webfortunevault.com/hik49/?misc1=888-676-5188&caid=28594&misc3=685419938&caCode=opm97np&nopop=0&stid=363&cid2=14862
1054,Slim Lipo Plus,corecutterplus.com,01/05/11,SlimLipoPlus,Slim Lipo Plus,Yes,No,No,Yes,"1,484,617",USA,"292,000",https://corecutterplus.com/promos/sl2/index.php
1066,Win a Walmart Giftcard – US,newlaboratories.com,07/21/11,Win a Walmart Gift Card,Popular Products Online,No,Yes,Yes,Yes,"322,117",N/A,"710,000",http://www.newlaboratories.com/sp_wap_wmrt/tvsbtacztdtstdutudtuz/index.php?web_id=CD1215&muid=MT-5238db907402a-5509
1067,WAP ThumbPlay,starcloud.us,05/05/08,N/A,Thumbplay Ringtones,No,Yes,Yes,Yes,"742,172",USA,"3,120",http://prod.cloud4.starcloud.us/inf/infomo?site=sendme&lpset=300003&extCampaignId=400&hp_cmp=8&sid=140062&xid=534229005&thppara1=447670&thppara2=159360316&thppara3=3386
1079,Best Buys,sidetick.tv,06/22/11,SideTick.Tv Signup,SideTick TV,Yes,Yes,Yes,Yes,"2,535,555",N/A,"1,680",https://sidetick.tv/signup/index.php?siteid=1551&accountid=206343
1081,Ipad 3,sidetick.tv,06/22/11,SideTick.Tv Signup,SideTick TV,Yes,Yes,Yes,Yes,"2,535,555",N/A,"1,680",https://sidetick.tv/signup/index.php?siteid=1551&accountid=206343
1082,IPhone 4,sidetick.tv,06/22/11,SideTick.Tv Signup,SideTick TV,Yes,Yes,Yes,Yes,"2,535,555",N/A,"1,680",https://sidetick.tv/signup/index.php?siteid=1551&accountid=206343
1083,Mac Air,sidetick.tv,06/22/11,SideTick.Tv Signup,SideTick TV,Yes,Yes,Yes,Yes,"2,535,555",N/A,"1,680",https://sidetick.tv/signup/index.php?siteid=1551&accountid=206343
1085,InstantCheckmate-BackgroundCheck,instantcheckmate.com,06/17/10,Instant Checkmate - The internet's #1 source for Background Checks,Instant Checkmate,No,No,No,No,"1,975",USA,"1,280,000",http://www.instantcheckmate.com/?src=A4D&mdm=network&cmp=447670
1086,VivexinES,vivexin.es,N/A,Vivexin,Vivexin,No,No,No,Yes,"2,353,404",N/A,"83,300",https://secure.vivexin.es/lp1.html?subid=235
1091,ipad3 mobile,sidetick.tv,06/22/11,SideTick.Tv Signup,SideTick TV,Yes,Yes,Yes,Yes,"2,535,555",N/A,"1,680",https://sidetick.tv/signup/index.php?siteid=1551&accountid=206343
1092,Best Buy mobile,sidetick.tv,06/22/11,SideTick.Tv Signup,SideTick TV,Yes,Yes,Yes,Yes,"2,535,555",N/A,"1,680",https://sidetick.tv/signup/index.php?siteid=1551&accountid=206343
1093,ipad2 mobile,sidetick.tv,06/22/11,SideTick.Tv Signup,SideTick TV,Yes,Yes,Yes,Yes,"2,535,555",N/A,"1,680",https://sidetick.tv/signup/index.php?siteid=1551&accountid=206343
1094,Mac Air mobile,sidetick.tv,06/22/11,SideTick.Tv Signup,SideTick TV,Yes,Yes,Yes,Yes,"2,535,555",N/A,"1,680",https://sidetick.tv/signup/index.php?siteid=1551&accountid=206343
1111,NuvorynNetherlands,nuvoryn-nl.com,02/21/12,Gewichtsverlies - Natuurlijke Vetverbranders - Online Afvallen,Nuvoryn,No,No,No,Yes,"2,176,440",N/A,"331,000",http://nuvoryn-nl.com/index.html
1112,PureCleanseNetherlands,purecleanse.nl,06/15/12,N/A,Pure Cleanse,No,No,No,No,"4,866,791",N/A,"203,000",http://purecleanse.nl/index.html
1113,BellagenixDE,bellagenix.com,03/09/12,BellaGenix,BellaGenix,No,No,No,Yes,"348,639",N/A,"86,900",https://bellagenix.com/de/besondere1/?click_id=801804220&c1=685422026&c2=300001&c3=&AFID=410028&SID=685422026
1114,PuraSilkDE,purasilk.de,N/A,PuraSilk,PuraSilk,No,Yes,Yes,Yes,N/A,N/A,"75,000",https://purasilk.de/spezial1/?click_id=801804316&c1=685422158&c2=300001&c3=&AFID=410028&SID=685422158
1142,RaspberryKetones,pureraspberryketone.com,01/17/12,Pure Raspberry Ketone,Pure Raspberry Ketone,No,No,No,No,"1,909,444",N/A,"7,190,000",https://www.pureraspberryketone.com/index.php?mode=bch2&AFF=169&AFFSUB=685422266&ptok=disable
1150,CENALESSBrazil,cenaless-brasil-oferta.com,08/27/13,Cenaless (60 capsulas) - Auxilia na perda de peso e da barriga!,Cenaless,No,No,No,No,"2,240,483",N/A,"176,000",http://www.cenaless-brasil-oferta.com/np/lp.php?subid=400128&hid=285975716&lpid=466xxx&c1=685422407&c2=300001&c3=&sid=1043&dt=2013-09-18_17:43:28
1159,Nuvoryn-CPS-FR,secure-order-now.com,09/10/13,Garcinia Cambogia,Pure Garcinia Cambogia Extract,No,No,No,Yes,"2,829,161",USA,"8,380,000",https://secure-order-now.com/offer/garcinia8356/?country=us&PubID=9&PC=577&path=garcinia-olive-plat&SID=685422535&SID2=300001&LPID=401&ClickID=29899250
1160,PureCleanse-CPS-FR,healthycheckout.com,08/16/10,ColoThin - Detoxify Naturally,ColoThin,No,Yes,Yes,Yes,"183,757",USA,"115,000",http://secure.healthycheckout.com/o/clthn2/landing#none
1161,NuvorynAU,secure-order-now.com,09/10/13,Garcinia Cambogia,Pure Garcinia Cambogia Extract,No,No,No,Yes,"2,829,161",USA,"8,380,000",https://secure-order-now.com/offer/garcinia8356/?country=us&PubID=9&PC=577&path=garcinia-olive-plat&SID=685422535&SID2=300001&LPID=401&ClickID=29899250
1162,NuvorynDenmark,nuvoryn-danmark.com,04/05/12,Slanketabletter | Vægttabs Kosttilskud – Nuvoryn-dk.com,Nuvoryn,No,No,No,Yes,"11,356,372",N/A,"331,000",http://nuvoryn-danmark.com/index.html
1163,PureCleanseAU,secure-order-now.com,09/10/13,Garcinia Cambogia,Pure Garcinia Cambogia Extract,No,No,No,Yes,"2,829,161",USA,"8,380,000",https://secure-order-now.com/offer/garcinia8356/?country=us&PubID=9&PC=577&path=garcinia-olive-plat&SID=685422535&SID2=300001&LPID=401&ClickID=29899250
1164,PureCleanseDenmark,purecleanse-dk.com,03/27/12,N/A,Pure Cleanse,No,No,No,No,"11,746,870",N/A,"203,000",http://purecleanse-dk.com/index.html
1166,PureCleanseGermany,healthycheckout.com,08/16/10,ColoThin - Detoxify Naturally,ColoThin,No,Yes,Yes,Yes,"183,757",USA,"115,000",http://secure.healthycheckout.com/o/clthn2/landing#none
1167,ProfitWebSystemADT,webfortunemaster.com,01/31/13,Web Fortune Master,Web Fortune Master,No,No,No,Yes,"63,608",USA,"937,000",http://webfortunemaster.com/ab97/?misc1=888-676-5188&caid=28956&misc3=685423149&caCode=gy49&nopop=0&stid=363&cid2=12881
1168,ProfitWebSystemV1,profitmastersacademy.com,06/25/12,Profit Masters Academy,Profit Masters Academy,No,Yes,Yes,Yes,"3,744,377",N/A,"31,400",http://profitmastersacademy.com/pmaangela97/?misc1=855-495-4161&caid=28955&misc3=685423212&caCode=ggoog49&nopop=0&stid=363&cid2=9888
1182,p2p Ari,webfortunemaster.com,01/31/13,Web Fortune Master,Web Fortune Master,No,No,No,Yes,"63,608",USA,"937,000",http://webfortunemaster.com/hik97/?misc1=888-394-9813&caid=28972&misc3=685423406&caCode=GhpmAngBus&nopop=0&stid=363&cid2=14841
1189,JustHookUp,justhookup.com,11/08/00,Just Hook Up – Mobile,Just Hook Up,No,No,No,No,"4,834",USA,"5,470,000",http://www.justhookup.com/m/register2
1191,Yamoja CA,yamoja.mobi,04/01/10,Win an iPad mini!,Yamoja,No,No,Yes,Yes,"194,300",Russia,"22,100",http://m.yamoja.mobi/IPHONE/1374861941?trackid=1093595228&hid=685423584
1205,Cosima Revival Spanish Speaking,cosimarevival.com,09/06/11,Cosima Revival,Cosima Revival,No,No,No,Yes,"22,724,797",N/A,"22,900",https://www.cosimarevival.com/special/lp3/?AFFID=168285&c1=300001&c2=685423722
1208,PureCleanse-SouthAfrica,healthycheckout.com,08/16/10,ColoThin - Detoxify Naturally,ColoThin,No,Yes,Yes,Yes,"183,757",USA,"115,000",http://secure.healthycheckout.com/o/clthn2/landing#none
1214,MyDentistMatches,xoticfish.com,03/12/07,Congratulations!,Xoticfish,No,Yes,Yes,Yes,"6,276,863",N/A,"2,500",http://xoticfish.com/
1221,IntlRedirBB,beddefense.com,09/27/11,Bed Defense // All Natural Bed Bug Protection Device,Bed Defense,No,No,No,No,"349,422",USA,"14,100",http://order.beddefense.com/ss2/?caid=29054&misc3=685491199&caCode=GURadblFT&nopop=0&stid=377&cid2=12049
1228,BalagannaMexico,balagana.net,05/26/11,Gane un iPhone 4S,Balagana,No,No,Yes,Yes,"1,178",Mexico,"62,200",http://mx.balagana.net/pages/es_MX/winiphone4/?sessionId=cab8e19b-2f63-4f87-b705-94291d860397&SID=Nuestro%20sitio&AFID=210806&AFCID=685491553&AFID=210806&msisdn
1230,BalagannaPoland,balagana.net,05/26/11,Sprawdzian mi?o?ci,Balagana,No,No,Yes,Yes,"1,178",Mexico,"62,200",http://pl.balagana.net/pages/pl_PL/lovetest/?AFID=210804&AFCID=685491435
1231,BalagannaSpain,Máquina de premios,05/26/11,Máquina de premios,Balagana,No,No,Yes,Yes,"1,178",Mexico,"62,200",http://campaigns.balagana.net/pages/es/prizemachine/?AFID=210803&AFCID=685491604
1237,Colombia XRAY Yamuja,yamoja.mobi,04/01/10,&#xa1;Descargue el mejor contenido m&#xf3;vil ahora!,Yamoja,No,No,Yes,Yes,"194,300",Russia,"22,100",http://m.yamoja.mobi/entry/adid/753420178?cs=ntc9dhj1s0kipde5fpsuoirhj7
1242,TheBinaryCode-CPL Video,webfortunemaster.com,01/31/13,Web Fortune Master,Web Fortune Master,No,No,No,Yes,"63,608",USA,"937,000",http://webfortunemaster.com/hik97/?misc1=888-676-5188&caid=28972&misc3=685491780&caCode=GhpmAngBus&nopop=0&stid=363&cid2=14837
1249,ChooseDebtSettlement,choosedebtsettlement.com,12/22/11,Choose Debt Settlement,Choose Debt Settlement,No,No,No,Yes,"5,806,441",N/A,"732,000",https://www.choosedebtsettlement.com/?aid=24985&sid1=685491848&sid2=&sid3=&tt=8NN8QDP4R48PXEPT4QRAFPQA3FTDP1PPRQFJQPFPF1XPXRPQRRXP13!FP1PQ3
1253,Dom CPL,homecashsolution.com,05/13/12,Home Cash Package,Home Cash Package,No,No,No,Yes,"12,438,215",N/A,"295,000",http://apply.homecashsolution.com/
1254,NuvorynItalyCPS,secure-order-now.com,09/10/13,Garcinia Cambogia,Pure Garcinia Cambogia Extract,No,No,No,Yes,"2,829,161",USA,"8,380,000",https://secure-order-now.com/offer/garcinia8361/?country=us&PubID=9&PC=577&path=garcinia-olive-plat&SID=685492235&SID2=300001&LPID=401&ClickID=29940616
1255,PureCleanseItaly,healthycheckout.com,08/16/10,ColoThin - Detoxify Naturally,ColoThin,No,Yes,Yes,Yes,"183,757",USA,"115,000",http://secure.healthycheckout.com/o/clthn2/landing#none
1256,NuvorynSweden,secure-order-now.com,09/10/13,Garcinia Cambogia,Pure Garcinia Cambogia Extract,No,No,No,Yes,"2,829,161",USA,"8,380,000",https://secure-order-now.com/offer/garcinia8361/?country=us&PubID=9&PC=577&path=garcinia-olive-plat&SID=685492235&SID2=300001&LPID=401&ClickID=29940616
1257,PureCleanseSweden,healthycheckout.com,08/16/10,ColoThin - Detoxify Naturally,ColoThin,No,Yes,Yes,Yes,"183,757",USA,"115,000",http://secure.healthycheckout.com/o/clthn2/landing#none
1262,BeyondtheRackCanada,beyondtherack.com,09/03/08,Sign Up - Beyond the Rack,Beyond the Rack,No,No,No,No,"9,092",Canada,"7,200,000",https://www.beyondtherack.com/auth/register?invite=yellmobca
1273,SlimVidaNL,nuvoryn-nl.com,02/21/12,Gewichtsverlies - Natuurlijke Vetverbranders - Online Afvallen,Nuvoryn,No,No,No,Yes,"2,176,440",N/A,"331,000",http://nuvoryn-nl.com/index.html
1275,SlimVidaSP,slimvida.com,03/22/07,Slimvida Advanced,Slimvida Advanced,Yes,Yes,Yes,Yes,"4,678,624",N/A,"3,530",http://slimvida.com/es/especial/
1281,Ultra Slim Patch,ultraslimpatch.com,04/13/12,USP,Ultra Slim Patch,No,No,No,Yes,"1,844,236",N/A,"277,000",http://www.ultraslimpatch.com/index.php?AFFID=OA&AFID=??&SID=200052
